,alabama,alaska,arizona,arkansas,california,colorado,connecticut,delaware,district-of-columbia,florida,georgia,guam,hawaii,idaho,illinois,indiana,iowa,kansas,kentucky,louisiana,maine,maryland,massachusetts,michigan,minnesota,mississippi,missouri,montana,nebraska,nevada,new-hampshire,new-jersey,new-mexico,new-york,north-carolina,north-dakota,ohio,oklahoma,oregon,pennsylvania,puerto-rico,rhode-island,south-carolina,south-dakota,tennessee,texas,utah,vermont,virginia,washington,west-virginia,wisconsin,wyoming
123,888,59,1357,586,8391,329,223,76,59,12702,3940,2,24,500,883,426,705,575,269,1749,17,418,177,422,491,393,443,85,106,832,14,478,263,665,1846,108,1263,512,268,584,356,40,1544,25,2323,10551,550,5,972,1337,43,520,42
124,2634,43,4273,814,9609,444,20,92,40,9251,3671,0,22,316,707,650,244,497,581,2281,11,733,172,666,398,862,1326,109,313,1104,23,432,223,975,1991,51,1168,997,367,982,113,68,2255,49,1828,12728,451,4,801,837,64,975,47
125,2451,51,3257,578,9735,469,106,83,80,10244,4186,1,29,727,1187,687,252,475,463,2135,19,756,208,1049,572,1025,1368,144,247,849,22,340,327,999,1816,72,1312,1079,276,1001,256,50,1884,81,2118,13880,416,13,1084,774,151,798,34
126,2344,63,3259,838,9315,571,114,64,50,14051,3721,1,20,688,1257,712,464,419,414,2337,23,648,167,926,605,1230,1196,135,298,1447,26,465,297,1103,2191,103,1230,630,429,808,195,95,1866,43,1931,11404,961,7,904,1210,123,987,41
127,2250,42,3910,664,9656,618,143,227,39,11537,4226,0,24,619,1427,735,894,513,532,2235,30,707,147,754,666,1032,1061,135,300,1380,26,288,318,1032,2082,124,1720,702,292,1003,546,85,2007,97,2966,10586,732,9,1002,948,123,897,43
128,1990,62,2742,790,8850,444,0,94,79,10392,5071,0,21,550,1276,843,560,277,590,0,12,835,236,745,457,1017,1026,105,226,1182,23,140,280,902,2486,115,1538,919,347,608,333,98,1577,74,2130,8878,766,4,940,632,173,989,39
129,1100,83,2359,712,8156,354,0,92,67,12555,3516,0,28,571,965,920,264,281,996,3196,20,925,192,530,734,792,644,62,124,1288,15,50,235,850,1820,112,1107,210,430,604,610,75,2410,45,2129,9699,791,12,1057,995,119,866,18
130,921,73,1559,717,8858,424,162,107,78,10411,2652,5,13,393,1173,637,683,522,258,3268,20,554,248,527,903,1251,497,88,118,948,46,139,244,707,1291,107,1230,169,268,1114,398,61,1482,38,1580,8875,412,10,945,1095,110,713,61
131,2637,90,3500,746,10328,493,41,124,88,9498,3691,0,26,556,955,712,527,465,659,1742,16,860,208,664,350,1635,1426,91,405,815,13,273,302,882,1863,81,1073,1720,292,962,479,64,1920,77,1202,11494,490,6,996,779,149,1115,51
132,2254,94,1926,606,12194,639,127,46,102,9845,3584,11,18,500,1598,759,312,472,490,2836,23,627,208,671,504,1547,1216,101,308,1129,33,394,311,823,2191,160,1514,921,254,807,98,91,1731,59,3157,11690,570,0,1022,720,134,860,50
133,2035,64,2335,1038,10528,616,9,134,42,10312,4635,2,58,414,1624,932,522,403,619,2355,19,664,216,701,760,982,1166,97,338,1262,23,302,335,953,1945,126,1446,740,320,886,435,86,1589,67,1996,10473,525,11,844,809,116,963,58
134,1880,56,3357,1015,11075,666,544,252,78,12521,5205,5,62,528,1599,1000,568,395,800,2137,24,930,294,641,767,1610,1209,129,309,966,57,386,312,906,2145,121,1561,315,391,1189,494,108,2032,58,2535,9541,869,8,1127,979,157,1118,59
135,1527,88,3740,751,11038,809,0,4,68,12274,4096,0,74,563,1426,925,630,263,850,0,34,1288,255,550,803,1434,1114,221,302,931,40,417,313,845,2114,122,1423,969,0,779,573,119,1423,107,1861,8635,666,11,1245,730,148,948,41
136,928,185,1973,658,6482,547,0,117,63,9402,2990,0,66,350,1541,854,389,208,321,3939,24,694,234,1039,862,1207,530,82,151,1027,21,350,254,605,1645,140,881,1208,654,652,603,105,1210,92,3093,4896,353,4,958,670,130,954,29
137,791,94,1813,845,7668,229,207,118,78,8947,3125,9,29,517,1231,537,533,462,532,2403,17,1128,305,512,650,653,415,39,107,988,5,678,460,781,1685,110,1112,1406,330,1222,288,54,1237,50,2327,6957,439,2,1505,1043,118,669,45
138,2220,109,2107,753,8033,749,94,70,87,9287,4552,3,48,528,1076,773,373,397,535,1150,12,648,214,785,478,1342,1344,94,363,1105,59,586,289,596,1805,155,1325,1093,328,1134,409,135,1718,49,1918,12249,449,3,922,877,114,787,69
139,2066,68,2339,806,9032,482,79,128,54,9504,3537,2,113,457,1393,623,218,403,613,1781,27,761,195,1016,666,1505,1151,201,318,870,13,248,345,798,1826,86,1363,851,305,855,221,94,1763,152,2506,10261,342,1,999,724,141,883,39
140,1998,84,2525,810,8219,408,130,89,58,10017,4286,3,130,567,1772,958,489,399,672,1753,23,892,388,807,745,1775,1245,138,416,1018,31,459,252,940,2411,74,1754,1121,410,869,511,152,1752,45,1183,10612,506,1,911,920,101,999,58
141,1576,106,3212,771,7920,605,140,101,69,9062,4397,2,128,475,1980,904,759,433,780,1846,25,1169,309,793,771,1168,1072,151,301,1264,39,592,212,924,2018,168,1531,750,361,934,209,94,1467,80,3583,12328,504,7,984,775,176,928,40
142,1339,145,2992,678,7423,458,0,91,79,9701,3958,0,90,393,1639,972,538,298,583,0,19,1019,397,758,725,1134,1014,116,313,986,30,285,196,755,1753,133,922,1249,325,681,1091,86,1608,105,1752,7533,510,7,913,715,155,1160,43
143,954,135,1465,653,6431,449,0,72,69,7148,3423,0,47,230,1467,737,507,302,471,3557,20,909,310,429,758,672,550,112,163,1131,21,260,220,467,1362,58,940,496,280,570,539,83,1208,89,2170,5803,476,5,981,200,117,861,39
144,842,59,1030,806,6376,252,252,108,39,4781,2442,12,216,331,1298,578,482,524,329,1128,9,870,367,613,613,572,546,40,107,994,26,443,114,695,1388,125,966,378,269,899,380,53,1181,66,1075,7829,357,1,1324,1086,119,505,40
145,2018,60,1008,803,5189,426,48,84,85,5480,2718,7,150,559,1471,824,281,447,703,1882,11,710,183,801,602,1074,1449,81,370,980,33,190,210,850,1694,148,1129,864,333,828,533,141,1258,60,1801,12535,381,4,1145,923,82,780,36
146,1672,55,1698,935,5589,594,115,161,45,5442,4072,14,180,473,1759,722,200,451,555,1488,21,572,464,718,617,1245,1263,115,311,649,26,544,226,688,1185,124,1189,1105,280,727,327,101,1302,90,1756,10631,424,5,798,690,119,934,39
147,1576,40,1444,754,8551,448,20,69,75,7697,3441,8,158,692,1953,1044,612,414,523,1308,16,579,361,763,861,956,1219,173,331,729,23,399,207,789,2051,120,1165,840,246,802,283,116,1346,107,1344,8643,591,9,818,860,117,918,35
148,1518,55,1406,1036,7953,457,75,81,71,7733,4444,14,211,523,2103,1244,698,415,553,1507,18,801,175,814,545,1036,1140,155,306,976,37,339,192,823,1579,150,1204,857,411,784,752,113,1445,100,2734,8677,463,3,2015,478,138,980,42
149,1328,79,1054,791,7073,431,0,57,64,8554,4783,0,242,573,2190,1037,526,283,797,0,10,775,336,721,916,1210,1096,132,289,886,39,271,150,837,1990,181,1289,828,374,588,738,92,1260,108,1792,7684,379,6,1307,911,137,1176,13
150,772,98,816,586,6874,336,0,73,100,6267,3427,0,159,176,1382,1045,398,298,412,2665,16,922,328,535,797,527,679,63,160,811,13,204,200,604,1626,88,869,488,262,646,697,89,991,130,2109,6590,379,5,897,473,118,621,29
151,654,68,600,661,10810,379,247,59,54,4181,2627,7,147,429,1319,666,553,764,277,564,13,755,309,580,618,476,467,65,89,742,9,501,129,593,507,117,904,398,216,957,700,35,735,59,1574,7100,265,3,663,884,86,533,0
152,1603,49,1214,393,12024,402,117,65,89,5867,3853,16,124,495,1549,872,241,609,550,1169,6,585,222,907,323,644,1528,87,391,548,21,381,199,711,1131,172,1093,768,286,792,582,112,987,51,902,8833,365,10,996,487,86,786,31
153,1344,61,706,721,9153,315,22,66,63,8159,3855,15,212,538,1645,662,259,598,1175,1184,20,541,314,476,464,1081,1356,164,314,528,26,394,173,773,1311,85,1419,672,248,902,671,93,857,104,1805,6997,340,6,776,557,125,549,13
154,1185,81,1351,27,7925,463,76,205,65,6274,2720,28,371,498,1834,1047,477,428,756,1140,21,776,247,1167,690,612,1403,139,346,602,34,382,171,823,1978,201,1191,708,278,987,372,101,950,83,1252,8018,336,6,1101,791,143,950,33
